Profit, Revenue, Cost
17407438.8, 17452400, 44961.2
17626022.0, 17671600, 45578.0
17394413.2, 17439300, 44886.8
17517138.8, 17562100, 44961.2
17401447.6, 17446500, 45052.4
17529150.0, 17574500, 45350.0
17394095.6, 17439100, 45004.4
17531578.0, 17576700, 45122.0
17367949.2, 17412500, 44550.8
17396656.4, 17441500, 44843.6
17382767.6, 17427700, 44932.4
17457821.2, 17502900, 45078.8
17461650.0, 17506700, 45050.0
17491754.8, 17536800, 45045.2
17407333.2, 17452400, 45066.8
17407994.0, 17452900, 44906.0
17459477.2, 17504400, 44922.8
17420026.0, 17465100, 45074.0
17472390.8, 17517400, 45009.2
17506853.2, 17552100, 45246.8
17524514.8, 17569800, 45285.2
17373522.8, 17418400, 44877.2
17380454.8, 17425200, 44745.2
17294405.2, 17339400, 44994.8
17494580.4, 17539700, 45119.6
17394814.8, 17439800, 44985.2
17396710.8, 17441600, 44889.2
17519566.0, 17564700, 45134.0
17413025.2, 17457900, 44874.8
17364976.4, 17410000, 45023.6
17462229.2, 17507500, 45270.8
17422391.6, 17467300, 44908.4
17385286.0, 17430300, 45014.0
17316927.6, 17361800, 44872.4
17396909.2, 17442000, 45090.8
17432754.8, 17477800, 45045.2
17394214.0, 17439000, 44786.0
17349488.4, 17394200, 44711.6
17507578.8, 17552900, 45321.2
17458127.6, 17503300, 45172.4
17525091.6, 17570600, 45508.4
17359248.4, 17403900, 44651.6
17463178.8, 17508200, 45021.2
17553915.6, 17599100, 45184.4
17502970.0, 17548200, 45230.0
17541045.2, 17586400, 45354.8
17456853.2, 17502100, 45246.8
17454629.2, 17499900, 45270.8
17523694.8, 17568800, 45105.2
17400431.6, 17445400, 44968.4
17453488.4, 17498800, 45311.6
17576210.0, 17621500, 45290.0
17371206.0, 17416100, 44894.0
17357912.4, 17402600, 44687.6
17429685.2, 17474800, 45114.8
17463887.6, 17509000, 45112.4
17455569.2, 17500900, 45330.8
17541522.0, 17586800, 45278.0
17421617.2, 17466600, 44982.8
17422492.4, 17467600, 45107.6
17484743.6, 17529700, 44956.4
17567642.8, 17613000, 45357.2
17388058.0, 17433000, 44942.0
17499067.6, 17544600, 45532.4
17315071.6, 17359800, 44728.4
17494602.0, 17539700, 45098.0
17482895.6, 17528200, 45304.4
17446202.8, 17491200, 44997.2
17353282.8, 17398100, 44817.2
17378398.0, 17423100, 44702.0
17481914.8, 17526900, 44985.2
17367892.4, 17412700, 44807.6
17540042.8, 17585400, 45357.2
17337871.6, 17382900, 45028.4
17412364.4, 17457400, 45035.6
17446342.8, 17491400, 45057.2
17398489.2, 17443400, 44910.8
17513368.4, 17558500, 45131.6
17378898.0, 17423900, 45002.0
17418714.8, 17463700, 44985.2
17401412.4, 17446400, 44987.6
17388261.2, 17433400, 45138.8
17523250.0, 17568300, 45050.0
17405956.4, 17450800, 44843.6
17369826.8, 17414800, 44973.2
17350049.2, 17394900, 44850.8
17476068.4, 17521200, 45131.6
17474075.6, 17519200, 45124.4
17358848.4, 17403800, 44951.6
17513142.8, 17558500, 45357.2
17515033.2, 17560400, 45366.8
17445113.2, 17490300, 45186.8
17495886.8, 17541100, 45213.2
17504491.6, 17549700, 45208.4
17473110.8, 17518300, 45189.2
17359805.2, 17404500, 44694.8
17411150.0, 17456200, 45050.0
17459583.6, 17504600, 45016.4
17378330.0, 17423200, 44870.0
17592562.8, 17638100, 45537.2
17539097.2, 17584200, 45102.8
17511012.4, 17556600, 45587.6
17399436.4, 17444400, 44963.6
17369837.2, 17414700, 44862.8
17514497.2, 17559900, 45402.8
17368368.4, 17413200, 44831.6
17362718.8, 17407500, 44781.2
17424980.4, 17470100, 45119.6
17419318.8, 17464400, 45081.2
17381487.6, 17426300, 44812.4
17498334.8, 17543800, 45465.2
17452041.2, 17497000, 44958.8
17469110.8, 17514300, 45189.2
17445486.0, 17490500, 45014.0
17433757.2, 17478800, 45042.8
17461887.6, 17507000, 45112.4
17399813.2, 17444700, 44886.8
17458034.8, 17503200, 45165.2
17442592.4, 17487700, 45107.6
17548100.4, 17593400, 45299.6
17548197.2, 17593600, 45402.8
17348035.6, 17392800, 44764.4
17435963.6, 17481100, 45136.4
17446906.8, 17492300, 45393.2
17631929.2, 17677500, 45570.8
17417355.6, 17462300, 44944.4
17617432.4, 17662900, 45467.6
17449715.6, 17494900, 45184.4
17439907.6, 17484900, 44992.4
17387649.2, 17432500, 44850.8
17533015.6, 17578200, 45184.4
17463970.0, 17509200, 45230.0
17513284.4, 17558500, 45215.6
17344516.4, 17389300, 44783.6
17430687.6, 17475800, 45112.4
17452822.8, 17498000, 45177.2
17553473.2, 17598900, 45426.8
17398048.4, 17443000, 44951.6
17409026.0, 17454100, 45074.0
17539532.4, 17584700, 45167.6
17468694.8, 17513800, 45105.2
17417181.2, 17462200, 45018.8
17459514.0, 17504600, 45086.0
17505694.0, 17550900, 45206.0
17474536.4, 17519800, 45263.6
17389665.2, 17434600, 44934.8
17470634.8, 17515800, 45165.2
17464238.0, 17509300, 45062.0
17506348.4, 17551300, 44951.6
17410201.2, 17455400, 45198.8
17536238.8, 17581500, 45261.2
17358382.8, 17403500, 45117.2
17492944.4, 17538100, 45155.6
17400035.6, 17445100, 45064.4
17480156.4, 17525300, 45143.6
17455834.0, 17501100, 45266.0
17479076.4, 17524400, 45323.6
17541967.6, 17587200, 45232.4
17428132.4, 17473300, 45167.6
17396354.0, 17441500, 45146.0
17549954.8, 17595300, 45345.2
17506576.4, 17551900, 45323.6
17454238.0, 17499300, 45062.0
17448467.6, 17493700, 45232.4
17410502.8, 17455500, 44997.2
17472839.6, 17518000, 45160.4
17436478.8, 17481800, 45321.2
17493279.6, 17538200, 44920.4
17310710.8, 17355300, 44589.2
17460134.8, 17505300, 45165.2
17464038.0, 17509100, 45062.0
17392498.0, 17437500, 45002.0
17413494.8, 17458300, 44805.2
17422113.2, 17467300, 45186.8
17431137.2, 17476300, 45162.8
17476118.0, 17521000, 44882.0
17461208.4, 17506400, 45191.6
17446421.2, 17491200, 44778.8
17409828.4, 17454900, 45071.6
17427424.4, 17472400, 44975.6
17471393.2, 17516700, 45306.8
17556974.0, 17602000, 45026.0
17423516.4, 17468600, 45083.6
17434754.0, 17479900, 45146.0
17344390.8, 17389400, 45009.2
17478772.4, 17524000, 45227.6
17458630.0, 17503800, 45170.0
17546003.6, 17591200, 45196.4
17465183.6, 17510200, 45016.4
17458014.0, 17503100, 45086.0
17465719.6, 17510700, 44980.4
17466091.6, 17511300, 45208.4
17529766.8, 17575400, 45633.2
17500238.0, 17545300, 45062.0
17474946.0, 17520200, 45254.0
17441342.8, 17486400, 45057.2
17338443.6, 17383400, 44956.4
17498144.4, 17543300, 45155.6
17497189.2, 17542400, 45210.8
17389233.2, 17434300, 45066.8
17458386.0, 17503400, 45014.0
17469967.6, 17515200, 45232.4
17482611.6, 17527700, 45088.4
17423657.2, 17468700, 45042.8
17556190.8, 17601500, 45309.2
17287305.2, 17332000, 44694.8
17288713.2, 17333600, 44886.8
17399538.8, 17444500, 44961.2
17411709.2, 17456500, 44790.8
17552148.4, 17597400, 45251.6
17455762.8, 17501000, 45237.2
17323172.4, 17368100, 44927.6
17422570.8, 17467700, 45129.2
17332481.2, 17377200, 44718.8
17457063.6, 17501900, 44836.4
17446423.6, 17491500, 45076.4
17547338.0, 17592700, 45362.0
17571103.6, 17616600, 45496.4
17508436.4, 17553700, 45263.6
17279515.6, 17324100, 44584.4
17419742.8, 17464800, 45057.2
17487110.8, 17532600, 45489.2
17470513.2, 17515700, 45186.8
17383087.6, 17427900, 44812.4
17589630.8, 17635300, 45669.2
17495096.4, 17540300, 45203.6
17527144.4, 17572300, 45155.6
17306317.2, 17351300, 44982.8
17439446.0, 17484400, 44954.0
17379642.8, 17424700, 45057.2
17416162.8, 17461400, 45237.2
17496416.4, 17541800, 45383.6
17372027.6, 17416900, 44872.4
17465448.4, 17510400, 44951.6
17465924.4, 17510900, 44975.6
17397837.2, 17442700, 44862.8
17361702.8, 17406700, 44997.2
17357038.8, 17402000, 44961.2
17449734.8, 17494900, 45165.2
17465576.4, 17510600, 45023.6
17414650.0, 17459700, 45050.0
